"vendor_name","pickup_datetime","dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","rate_code","store_and_fwd","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","total_amount","improvement_surcharge","congestion_surcharge","pickup_location_id","dropoff_location_id","month"
"CMT",2021-01-16 22:02:44.000,2021-01-16 22:10:15.000,1,1,,,"Standard rate","No",,,"Credit card",6.5,3,0.5,0,0,10.3,0.3,2.5,79,113,1
"CMT",2021-01-27 13:19:28.000,2021-01-27 13:43:11.000,1,3.2,,,"Standard rate","No",,,"Credit card",16,0,0.5,3.2,0,20,0.3,0,42,244,1
"CMT",2021-01-19 17:08:06.000,2021-01-19 17:17:19.000,1,2.2,,,"Standard rate","No",,,"Credit card",9,3.5,0.5,2.65,0,15.95,0.3,2.5,261,113,1
,2021-01-29 16:53:00.000,2021-01-29 17:05:00.000,,2.44,,,,,,,,14.53,0,0.5,3.76,0,21.59,0.3,2.5,211,186,1
"VTS",2021-01-20 22:56:49.000,2021-01-20 23:04:57.000,1,2.32,,,"Standard rate","No",,,"Credit card",9,0.5,0.5,2.56,0,15.36,0.3,2.5,164,140,1
"VTS",2021-01-28 14:55:49.000,2021-01-28 15:03:44.000,1,1.4,,,"Standard rate","No",,,"Cash",7,0,0.5,0,0,10.3,0.3,2.5,113,246,1
"VTS",2021-01-13 15:04:20.000,2021-01-13 15:12:36.000,1,1.18,,,"Standard rate","No",,,"Credit card",7.5,0,0.5,2.16,0,12.96,0.3,2.5,236,238,1
"CMT",2021-01-20 05:32:24.000,2021-01-20 05:36:26.000,1,1.3,,,"Standard rate","No",,,"Credit card",6,3,0.5,1.95,0,11.75,0.3,2.5,186,107,1
"CMT",2021-01-30 16:18:24.000,2021-01-30 16:31:53.000,1,2.7,,,"Standard rate","No",,,"Credit card",11.5,2.5,0.5,1,0,15.8,0.3,2.5,234,261,1
"VTS",2021-01-05 11:12:49.000,2021-01-05 11:16:01.000,1,0.71,,,"Standard rate","No",,,"Credit card",4.5,0,0.5,1.56,0,9.36,0.3,2.5,140,262,1
"VTS",2021-01-08 12:45:42.000,2021-01-08 12:51:32.000,1,0.87,,,"Standard rate","No",,,"Credit card",5.5,0,0.5,1.76,0,10.56,0.3,2.5,236,236,1
"VTS",2021-01-02 17:16:18.000,2021-01-02 17:25:30.000,1,1.88,,,"Standard rate","No",,,"Credit card",8.5,0,0.5,1,0,12.8,0.3,2.5,43,238,1
"VTS",2021-01-21 11:43:06.000,2021-01-21 11:51:29.000,1,1.12,,,"Standard rate","No",,,"Credit card",7,0,0.5,1.03,0,11.33,0.3,2.5,161,141,1
"CMT",2021-01-11 10:30:20.000,2021-01-11 10:40:21.000,1,1.8,,,"Standard rate","No",,,"Credit card",9,2.5,0.5,2.45,0,14.75,0.3,2.5,237,100,1
"VTS",2021-01-17 09:05:43.000,2021-01-17 09:21:24.000,1,3.36,,,"Standard rate","No",,,"Credit card",14,0,0.5,3.46,0,20.76,0.3,2.5,151,100,1
"VTS",2021-01-29 15:41:59.000,2021-01-29 15:50:27.000,3,1.39,,,"Standard rate","No",,,"Credit card",8,0,0.5,2.82,0,14.12,0.3,2.5,43,163,1
"VTS",2021-01-31 17:59:09.000,2021-01-31 18:05:44.000,1,1.41,,,"Standard rate","No",,,"Credit card",7,0,0.5,3.09,0,13.39,0.3,2.5,234,114,1
"CMT",2021-01-26 15:00:00.000,2021-01-26 15:05:32.000,3,1.3,,,"Standard rate","No",,,"Credit card",6.5,2.5,0.5,5,0,14.8,0.3,2.5,164,161,1
"VTS",2021-01-27 16:42:37.000,2021-01-27 16:51:08.000,5,1.64,,,"Standard rate","No",,,"Credit card",8,1,0.5,2.46,0,14.76,0.3,2.5,142,230,1
"VTS",2021-01-11 17:08:03.000,2021-01-11 17:11:38.000,5,0.96,,,"Standard rate","No",,,"Credit card",5,1,0.5,2.79,0,12.09,0.3,2.5,142,238,1
"VTS",2021-01-06 16:13:16.000,2021-01-06 16:23:32.000,1,1.42,,,"Standard rate","No",,,"Credit card",8.5,1,0.5,2.56,0,15.36,0.3,2.5,186,161,1
"VTS",2021-01-16 21:50:10.000,2021-01-16 22:27:05.000,3,7.88,,,"Standard rate","No",,,"Credit card",30,0.5,0.5,0,0,33.8,0.3,2.5,79,72,1
"VTS",2021-01-30 18:49:03.000,2021-01-30 18:57:20.000,5,1.16,,,"Standard rate","No",,,"Credit card",7,0,0.5,2.06,0,12.36,0.3,2.5,161,229,1
"VTS",2021-01-31 15:10:02.000,2021-01-31 15:15:05.000,2,1.03,,,"Standard rate","No",,,"Cash",5.5,0,0.5,0,0,8.8,0.3,2.5,237,236,1
"VTS",2021-01-25 11:34:31.000,2021-01-25 11:54:58.000,1,3.48,,,"Standard rate","No",,,"Cash",15,0,0.5,0,0,18.3,0.3,2.5,74,162,1
"CMT",2021-01-31 08:17:53.000,2021-01-31 08:23:56.000,1,1.4,,,"Standard rate","No",,,"Credit card",7,2.5,0.5,2.55,0,12.85,0.3,2.5,43,75,1
,2021-01-27 15:14:00.000,2021-01-27 15:18:00.000,,0.36,,,,,,,,12.17,2.75,0.5,0,0,15.72,0.3,0,238,238,1
"VTS",2021-01-14 10:49:14.000,2021-01-14 10:55:52.000,3,1.29,,,"Standard rate","No",,,"Credit card",6.5,0,0.5,1.96,0,11.76,0.3,2.5,231,158,1
